 ◦ 2021년 학교안전사고 발생현황(장소),,,,,,,,,,,,,
,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",부속시설,,운동장,,교실,,통로,,교외활동,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,"1,820",19.80%,"1,666",18.10%,"4,545",49.50%,795,8.70%,354,3.90%,"9,180",100.00%
합계,초,"11,757",39.00%,"6,839",22.70%,"5,289",17.50%,"5,446",18.10%,823,2.70%,"30,154",100.00%
합계,중,"12,152",36.40%,"12,945",38.80%,"3,491",10.50%,"3,901",11.70%,916,2.70%,"33,405",100.00%
합계,고,"7,559",38.50%,"7,389",37.70%,"1,872",9.50%,"1,906",9.70%,884,4.50%,"19,610",100.00%
합계,특수,133,29.00%,70,15.30%,167,36.50%,62,13.50%,26,5.70%,458,100.00%
합계,기타,127,37.40%,134,39.40%,37,10.90%,34,10.00%,8,2.40%,340,100.00%
합계,계,"33,548",36.00%,"29,043",31.20%,"15,401",16.50%,"12,144",13.00%,"3,011",3.20%,"93,147",100.00%
서울,유,183,17.40%,201,19.10%,560,53.30%,79,7.50%,28,2.70%,"1,051",100.00%
서울,초,"1,325",34.90%,965,25.40%,754,19.90%,666,17.50%,85,2.20%,"3,795",100.00%
서울,중,"1,845",35.60%,"2,152",41.50%,529,10.20%,510,9.80%,152,2.90%,"5,188",100.00%
서울,고,989,34.40%,"1,209",42.00%,233,8.10%,279,9.70%,167,5.80%,"2,877",100.00%
서울,특수,31,29.80%,12,11.50%,45,43.30%,12,11.50%,4,3.80%,104,100.00%
서울,기타,20,36.40%,19,34.50%,6,10.90%,9,16.40%,1,1.80%,55,100.00%
서울,소계,"4,393",33.60%,"4,558",34.90%,"2,127",16.30%,"1,555",11.90%,437,3.30%,"13,070",100.00%
부산,유,133,17.90%,155,20.80%,363,48.80%,57,7.70%,36,4.80%,744,100.00%
부산,초,585,35.30%,358,21.60%,315,19.00%,341,20.60%,59,3.60%,"1,658",100.00%
